id,title_en,title_hi,title_kn,ministry,scope,state,category,eligibility,benefit_en,benefit_hi,benefit_kn,documents,application_url,office_template
nat_edu_0,National Education Scholarship 0,National Education Scholarship 0 (Hindi),National Education Scholarship 0 (Kannada),Various Ministries,national,,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}]","₹10,000/year","₹10,000/year (Hindi)","₹10,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
nat_edu_1,National Education Scholarship 1,National Education Scholarship 1 (Hindi),National Education Scholarship 1 (Kannada),Various Ministries,national,,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}]","₹10,000/year","₹10,000/year (Hindi)","₹10,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
nat_edu_2,National Education Scholarship 2,National Education Scholarship 2 (Hindi),National Education Scholarship 2 (Kannada),Various Ministries,national,,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}]","₹10,000/year","₹10,000/year (Hindi)","₹10,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
nat_edu_3,National Education Scholarship 3,National Education Scholarship 3 (Hindi),National Education Scholarship 3 (Kannada),Various Ministries,national,,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}]","₹10,000/year","₹10,000/year (Hindi)","₹10,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_edu_0,Karnataka State Education Grant 0,Karnataka State Education Grant 0 (Hindi),Karnataka State Education Grant 0 (Kannada),Various Ministries,state,Karnataka,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]","₹5,000/year","₹5,000/year (Hindi)","₹5,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_edu_1,Karnataka State Education Grant 1,Karnataka State Education Grant 1 (Hindi),Karnataka State Education Grant 1 (Kannada),Various Ministries,state,Karnataka,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]","₹5,000/year","₹5,000/year (Hindi)","₹5,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_edu_2,Karnataka State Education Grant 2,Karnataka State Education Grant 2 (Hindi),Karnataka State Education Grant 2 (Kannada),Various Ministries,state,Karnataka,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]","₹5,000/year","₹5,000/year (Hindi)","₹5,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_edu_3,Karnataka State Education Grant 3,Karnataka State Education Grant 3 (Hindi),Karnataka State Education Grant 3 (Kannada),Various Ministries,state,Karnataka,education,"[{""field"": ""children_in_education"", ""op"": ""=="", ""value"": true}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]","₹5,000/year","₹5,000/year (Hindi)","₹5,000/year (Kannada)","[""aadhaar"", ""school_certificate""]",https://example.gov.in,"Local Office, {district}"
nat_wc_0,National Women & Child Scheme 0,National Women & Child Scheme 0 (Hindi),National Women & Child Scheme 0 (Kannada),Various Ministries,national,,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_wc_1,National Women & Child Scheme 1,National Women & Child Scheme 1 (Hindi),National Women & Child Scheme 1 (Kannada),Various Ministries,national,,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_wc_2,National Women & Child Scheme 2,National Women & Child Scheme 2 (Hindi),National Women & Child Scheme 2 (Kannada),Various Ministries,national,,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_wc_3,National Women & Child Scheme 3,National Women & Child Scheme 3 (Hindi),National Women & Child Scheme 3 (Kannada),Various Ministries,national,,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_wc_4,National Women & Child Scheme 4,National Women & Child Scheme 4 (Hindi),National Women & Child Scheme 4 (Kannada),Various Ministries,national,,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_wc_0,Karnataka Women Welfare 0,Karnataka Women Welfare 0 (Hindi),Karnataka Women Welfare 0 (Kannada),Various Ministries,state,Karnataka,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_wc_1,Karnataka Women Welfare 1,Karnataka Women Welfare 1 (Hindi),Karnataka Women Welfare 1 (Kannada),Various Ministries,state,Karnataka,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_wc_2,Karnataka Women Welfare 2,Karnataka Women Welfare 2 (Hindi),Karnataka Women Welfare 2 (Kannada),Various Ministries,state,Karnataka,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_wc_3,Karnataka Women Welfare 3,Karnataka Women Welfare 3 (Hindi),Karnataka Women Welfare 3 (Kannada),Various Ministries,state,Karnataka,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_wc_4,Karnataka Women Welfare 4,Karnataka Women Welfare 4 (Hindi),Karnataka Women Welfare 4 (Kannada),Various Ministries,state,Karnataka,women_child,"[{""field"": ""gender"", ""op"": ""=="", ""value"": ""F""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Various benefits,Various benefits (Hindi),Various benefits (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_agri_0,National Agriculture Subsidy 0,National Agriculture Subsidy 0 (Hindi),National Agriculture Subsidy 0 (Kannada),Various Ministries,national,,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}]",₹6000/year,₹6000/year (Hindi),₹6000/year (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_agri_1,National Agriculture Subsidy 1,National Agriculture Subsidy 1 (Hindi),National Agriculture Subsidy 1 (Kannada),Various Ministries,national,,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}]",₹6000/year,₹6000/year (Hindi),₹6000/year (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_agri_2,National Agriculture Subsidy 2,National Agriculture Subsidy 2 (Hindi),National Agriculture Subsidy 2 (Kannada),Various Ministries,national,,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}]",₹6000/year,₹6000/year (Hindi),₹6000/year (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
ka_agri_0,Karnataka Krishi Bhagya 0,Karnataka Krishi Bhagya 0 (Hindi),Karnataka Krishi Bhagya 0 (Kannada),Various Ministries,state,Karnataka,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Equipment subsidy,Equipment subsidy (Hindi),Equipment subsidy (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
ka_agri_1,Karnataka Krishi Bhagya 1,Karnataka Krishi Bhagya 1 (Hindi),Karnataka Krishi Bhagya 1 (Kannada),Various Ministries,state,Karnataka,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Equipment subsidy,Equipment subsidy (Hindi),Equipment subsidy (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
ka_agri_2,Karnataka Krishi Bhagya 2,Karnataka Krishi Bhagya 2 (Hindi),Karnataka Krishi Bhagya 2 (Kannada),Various Ministries,state,Karnataka,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Equipment subsidy,Equipment subsidy (Hindi),Equipment subsidy (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
ka_agri_3,Karnataka Krishi Bhagya 3,Karnataka Krishi Bhagya 3 (Hindi),Karnataka Krishi Bhagya 3 (Kannada),Various Ministries,state,Karnataka,agriculture,"[{""field"": ""occupation"", ""op"": ""in"", ""value"": [""farmer""]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Equipment subsidy,Equipment subsidy (Hindi),Equipment subsidy (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_senior_0,National Senior Citizen Pension 0,National Senior Citizen Pension 0 (Hindi),National Senior Citizen Pension 0 (Kannada),Various Ministries,national,,senior_citizen,"[{""field"": ""age"", ""op"": "">="", ""value"": 60}]",₹500/month,₹500/month (Hindi),₹500/month (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_senior_1,National Senior Citizen Pension 1,National Senior Citizen Pension 1 (Hindi),National Senior Citizen Pension 1 (Kannada),Various Ministries,national,,senior_citizen,"[{""field"": ""age"", ""op"": "">="", ""value"": 60}]",₹500/month,₹500/month (Hindi),₹500/month (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_senior_2,National Senior Citizen Pension 2,National Senior Citizen Pension 2 (Hindi),National Senior Citizen Pension 2 (Kannada),Various Ministries,national,,senior_citizen,"[{""field"": ""age"", ""op"": "">="", ""value"": 60}]",₹500/month,₹500/month (Hindi),₹500/month (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_senior_0,Karnataka Sandhya Suraksha 0,Karnataka Sandhya Suraksha 0 (Hindi),Karnataka Sandhya Suraksha 0 (Kannada),Various Ministries,state,Karnataka,senior_citizen,"[{""field"": ""age"", ""op"": "">="", ""value"": 65}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹1000/month,₹1000/month (Hindi),₹1000/month (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_senior_1,Karnataka Sandhya Suraksha 1,Karnataka Sandhya Suraksha 1 (Hindi),Karnataka Sandhya Suraksha 1 (Kannada),Various Ministries,state,Karnataka,senior_citizen,"[{""field"": ""age"", ""op"": "">="", ""value"": 65}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹1000/month,₹1000/month (Hindi),₹1000/month (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
nat_emp_0,National Rural Employment Guarantee 0,National Rural Employment Guarantee 0 (Hindi),National Rural Employment Guarantee 0 (Kannada),Various Ministries,national,,employment,"[{""field"": ""age"", ""op"": "">="", ""value"": 18}]",100 days work,100 days work (Hindi),100 days work (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_emp_1,National Rural Employment Guarantee 1,National Rural Employment Guarantee 1 (Hindi),National Rural Employment Guarantee 1 (Kannada),Various Ministries,national,,employment,"[{""field"": ""age"", ""op"": "">="", ""value"": 18}]",100 days work,100 days work (Hindi),100 days work (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_emp_2,National Rural Employment Guarantee 2,National Rural Employment Guarantee 2 (Hindi),National Rural Employment Guarantee 2 (Kannada),Various Ministries,national,,employment,"[{""field"": ""age"", ""op"": "">="", ""value"": 18}]",100 days work,100 days work (Hindi),100 days work (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_emp_3,National Rural Employment Guarantee 3,National Rural Employment Guarantee 3 (Hindi),National Rural Employment Guarantee 3 (Kannada),Various Ministries,national,,employment,"[{""field"": ""age"", ""op"": "">="", ""value"": 18}]",100 days work,100 days work (Hindi),100 days work (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
nat_emp_4,National Rural Employment Guarantee 4,National Rural Employment Guarantee 4 (Hindi),National Rural Employment Guarantee 4 (Kannada),Various Ministries,national,,employment,"[{""field"": ""age"", ""op"": "">="", ""value"": 18}]",100 days work,100 days work (Hindi),100 days work (Kannada),"[""aadhaar"", ""bank_passbook""]",https://example.gov.in,"Local Office, {district}"
ka_emp_0,Karnataka Skill Development 0,Karnataka Skill Development 0 (Hindi),Karnataka Skill Development 0 (Kannada),Various Ministries,state,Karnataka,employment,"[{""field"": ""age"", ""op"": ""between"", ""value"": [18, 35]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Skill training,Skill training (Hindi),Skill training (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_emp_1,Karnataka Skill Development 1,Karnataka Skill Development 1 (Hindi),Karnataka Skill Development 1 (Kannada),Various Ministries,state,Karnataka,employment,"[{""field"": ""age"", ""op"": ""between"", ""value"": [18, 35]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Skill training,Skill training (Hindi),Skill training (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_emp_2,Karnataka Skill Development 2,Karnataka Skill Development 2 (Hindi),Karnataka Skill Development 2 (Kannada),Various Ministries,state,Karnataka,employment,"[{""field"": ""age"", ""op"": ""between"", ""value"": [18, 35]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Skill training,Skill training (Hindi),Skill training (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_emp_3,Karnataka Skill Development 3,Karnataka Skill Development 3 (Hindi),Karnataka Skill Development 3 (Kannada),Various Ministries,state,Karnataka,employment,"[{""field"": ""age"", ""op"": ""between"", ""value"": [18, 35]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Skill training,Skill training (Hindi),Skill training (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
ka_emp_4,Karnataka Skill Development 4,Karnataka Skill Development 4 (Hindi),Karnataka Skill Development 4 (Kannada),Various Ministries,state,Karnataka,employment,"[{""field"": ""age"", ""op"": ""between"", ""value"": [18, 35]}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",Skill training,Skill training (Hindi),Skill training (Kannada),"[""aadhaar""]",https://example.gov.in,"Local Office, {district}"
